CMDLINE C:\Users\xener\AppData\Local\Programs\Python\Python38\python.exe init.py
MEM 0.605469 1591522677.7457
MEM 20.187500 1591522677.8457
MEM 23.359375 1591522677.9457
MEM 25.597656 1591522678.0458
MEM 35.085938 1591522678.1458
MEM 40.234375 1591522678.2458
MEM 42.464844 1591522678.3458
MEM 50.679688 1591522678.4459
MEM 52.453125 1591522678.5459
MEM 55.808594 1591522678.6459
MEM 56.023438 1591522678.7459
MEM 56.226562 1591522678.8459
MEM 58.382812 1591522678.9460
MEM 65.750000 1591522679.0460
MEM 68.949219 1591522679.1460
MEM 70.917969 1591522679.2460
MEM 70.917969 1591522679.3461
MEM 70.578125 1591522679.4461
MEM 70.582031 1591522679.5461
MEM 58.226562 1591522679.6461
MEM 59.453125 1591522679.7461
MEM 65.777344 1591522679.8462
MEM 67.109375 1591522679.9462
MEM 69.125000 1591522680.0462
MEM 71.144531 1591522680.1462
MEM 71.187500 1591522680.2463
MEM 71.839844 1591522680.3463
MEM 80.503906 1591522680.4463
MEM 83.507812 1591522680.5463
MEM 84.808594 1591522680.6464
MEM 85.429688 1591522680.7464
MEM 85.539062 1591522680.8464
MEM 85.539062 1591522680.9464
MEM 81.171875 1591522681.0464
MEM 74.195312 1591522681.1465
MEM 74.195312 1591522681.2465
MEM 75.273438 1591522681.3465
MEM 75.273438 1591522681.4465
MEM 75.273438 1591522681.5466
MEM 75.292969 1591522681.6466
MEM 75.292969 1591522681.7466
MEM 75.328125 1591522681.8466
MEM 75.343750 1591522681.9466
MEM 77.234375 1591522682.0467
MEM 77.234375 1591522682.1467
MEM 77.234375 1591522682.2467
MEM 77.234375 1591522682.3467
MEM 77.234375 1591522682.4468
MEM 77.234375 1591522682.5468
MEM 77.234375 1591522682.6468
MEM 77.234375 1591522682.7468
MEM 77.234375 1591522682.8468
MEM 77.234375 1591522682.9469
MEM 77.234375 1591522683.0469
MEM 77.234375 1591522683.1469
MEM 77.234375 1591522683.2469
MEM 77.234375 1591522683.3470
MEM 77.234375 1591522683.4470
MEM 77.234375 1591522683.5470
MEM 77.234375 1591522683.6470
MEM 77.234375 1591522683.7470
MEM 77.234375 1591522683.8471
MEM 77.234375 1591522683.9471
MEM 77.234375 1591522684.0471
MEM 77.234375 1591522684.1471
MEM 77.234375 1591522684.2472
MEM 77.234375 1591522684.3472
MEM 77.234375 1591522684.4472
MEM 77.234375 1591522684.5472
MEM 77.234375 1591522684.6472
MEM 77.234375 1591522684.7473
MEM 77.234375 1591522684.8473
MEM 77.234375 1591522684.9473
MEM 77.234375 1591522685.0473
MEM 77.234375 1591522685.1474
MEM 77.234375 1591522685.2474
MEM 77.234375 1591522685.3476
MEM 77.234375 1591522685.4484
MEM 77.234375 1591522685.5485
MEM 77.234375 1591522685.6485
MEM 77.234375 1591522685.7485
MEM 77.234375 1591522685.8485
MEM 77.968750 1591522685.9485
MEM 77.972656 1591522686.0486
MEM 77.972656 1591522686.1486
MEM 78.488281 1591522686.2486
MEM 78.488281 1591522686.3486
MEM 78.488281 1591522686.4487
MEM 78.488281 1591522686.5487
MEM 78.488281 1591522686.6487
MEM 78.488281 1591522686.7487
MEM 78.488281 1591522686.8487
MEM 78.488281 1591522686.9488
MEM 78.488281 1591522687.0488
MEM 78.488281 1591522687.1488
MEM 78.488281 1591522687.2488
MEM 78.488281 1591522687.3489
MEM 78.488281 1591522687.4489
MEM 78.488281 1591522687.5489
MEM 78.488281 1591522687.6489
MEM 78.488281 1591522687.7489
MEM 78.488281 1591522687.8490
MEM 78.488281 1591522687.9490
MEM 78.488281 1591522688.0490
MEM 78.488281 1591522688.1490
MEM 78.488281 1591522688.2491
MEM 78.488281 1591522688.3491
MEM 78.488281 1591522688.4491
MEM 78.488281 1591522688.5491
MEM 78.488281 1591522688.6492
MEM 78.488281 1591522688.7492
MEM 78.488281 1591522688.8492
MEM 78.488281 1591522688.9492
MEM 78.488281 1591522689.0492
MEM 78.488281 1591522689.1493
MEM 78.488281 1591522689.2493
MEM 78.488281 1591522689.3493
MEM 78.488281 1591522689.4493
MEM 78.488281 1591522689.5494
MEM 78.488281 1591522689.6494
MEM 78.488281 1591522689.7494
MEM 78.488281 1591522689.8494
MEM 78.488281 1591522689.9494
MEM 78.488281 1591522690.0495
MEM 78.488281 1591522690.1495
MEM 78.488281 1591522690.2495
MEM 78.488281 1591522690.3495
MEM 78.523438 1591522690.4496
MEM 78.523438 1591522690.5496
MEM 78.523438 1591522690.6496
MEM 78.523438 1591522690.7496
MEM 78.523438 1591522690.8496
MEM 78.523438 1591522690.9497
MEM 78.523438 1591522691.0497
MEM 78.523438 1591522691.1497
MEM 78.523438 1591522691.2497
MEM 78.523438 1591522691.3498
MEM 78.523438 1591522691.4498
MEM 78.523438 1591522691.5498
MEM 78.523438 1591522691.6498
MEM 78.523438 1591522691.7503
MEM 78.523438 1591522691.8504
MEM 78.523438 1591522691.9504
MEM 78.527344 1591522692.0504
MEM 78.527344 1591522692.1504
MEM 78.527344 1591522692.2505
MEM 78.527344 1591522692.3505
MEM 78.527344 1591522692.4505
MEM 78.527344 1591522692.5505
MEM 78.527344 1591522692.6506
MEM 78.527344 1591522692.7506
MEM 78.527344 1591522692.8506
MEM 78.527344 1591522692.9515
MEM 78.527344 1591522693.0515
MEM 78.527344 1591522693.1515
MEM 78.527344 1591522693.2515
MEM 78.527344 1591522693.3516
MEM 78.527344 1591522693.4516
MEM 78.527344 1591522693.5516
MEM 78.527344 1591522693.6516
MEM 78.527344 1591522693.7516
MEM 78.527344 1591522693.8517
MEM 78.527344 1591522693.9517
MEM 78.527344 1591522694.0517
MEM 78.527344 1591522694.1523
MEM 78.527344 1591522694.2523
MEM 78.527344 1591522694.3523
MEM 78.527344 1591522694.4524
MEM 78.527344 1591522694.5524
MEM 78.527344 1591522694.6524
MEM 78.527344 1591522694.7524
MEM 78.527344 1591522694.8524
MEM 78.527344 1591522694.9525
MEM 78.527344 1591522695.0525
MEM 78.527344 1591522695.1525
MEM 78.527344 1591522695.2525
MEM 78.527344 1591522695.3526
MEM 78.527344 1591522695.4526
MEM 78.527344 1591522695.5526
MEM 78.527344 1591522695.6526
MEM 78.527344 1591522695.7526
MEM 78.527344 1591522695.8527
MEM 78.527344 1591522695.9527
MEM 78.527344 1591522696.0527
MEM 78.527344 1591522696.1527
MEM 78.527344 1591522696.2528
MEM 78.527344 1591522696.3528
MEM 78.527344 1591522696.4528
MEM 78.527344 1591522696.5528
MEM 78.527344 1591522696.6529
MEM 78.527344 1591522696.7529
MEM 78.527344 1591522696.8529
MEM 78.527344 1591522696.9529
MEM 78.527344 1591522697.0529
MEM 78.527344 1591522697.1530
MEM 78.527344 1591522697.2530
MEM 78.527344 1591522697.3530
MEM 78.527344 1591522697.4530
MEM 78.527344 1591522697.5531
MEM 78.527344 1591522697.6531
MEM 78.527344 1591522697.7531
MEM 78.527344 1591522697.8531
MEM 78.527344 1591522697.9531
MEM 78.527344 1591522698.0532
MEM 78.527344 1591522698.1532
MEM 78.527344 1591522698.2532
MEM 78.527344 1591522698.3532
MEM 78.527344 1591522698.4533
MEM 78.527344 1591522698.5533
MEM 78.527344 1591522698.6533
MEM 78.527344 1591522698.7533
MEM 78.527344 1591522698.8533
MEM 78.527344 1591522698.9534
MEM 78.527344 1591522699.0534
MEM 78.527344 1591522699.1534
MEM 78.527344 1591522699.2534
MEM 78.527344 1591522699.3535
MEM 78.527344 1591522699.4535
MEM 78.527344 1591522699.5535
MEM 78.527344 1591522699.6535
MEM 78.527344 1591522699.7536
MEM 78.527344 1591522699.8536
MEM 78.527344 1591522699.9536
MEM 78.527344 1591522700.0536
MEM 78.527344 1591522700.1537
MEM 78.527344 1591522700.2537
MEM 78.527344 1591522700.3537
MEM 78.527344 1591522700.4537
MEM 78.527344 1591522700.5537
MEM 78.527344 1591522700.6538
MEM 78.527344 1591522700.7538
MEM 78.527344 1591522700.8538
MEM 78.527344 1591522700.9538
MEM 78.527344 1591522701.0539
MEM 78.527344 1591522701.1539
MEM 78.527344 1591522701.2539
MEM 78.527344 1591522701.3539
MEM 78.527344 1591522701.4539
MEM 78.527344 1591522701.5540
